縣市別,場址名稱,場址坐標,場址地址,場址地號,場址種類,場址面積(平方公尺),公告為控制場址日期,公告為控制場址公文,公告解除控制場址日期,公告解除控制場址公文,公告為整治場址日期,公告為整治場址公文,公告解除整治場址日期,公告解除整治場址公文,公告劃定地下水受污染限制使用地區及限制事項日期,公告劃定地下水受污染限制使用地區及限制事項公文,公告解除劃定地下水受污染限制使用地區及限制事項日期,公告解除劃定地下水受污染限制使用地區及限制事項公文,場址列管狀態,土壤/地下水污染物,污染情形,場址現況概述,重要注意事項,改善整治進度
臺北市,台北市北投區八仙段一小段三三五地號,X：301277，Y：2777431,無,臺北市北投區八仙段一小段三三五地號,農地,387,2002/10/04,府環水字第09106170400號,2004/11/02,府環二字第09305906300號,無,無,無,無,無,無,無,無,公告解除控制場址,銅/無,土壤重金屬污染,因年代久遠，資料不可考。,無,完成控制並解除列管
臺北市,台北市北投區八仙段一小段三四四地號,X：301267，Y：2777372,無,臺北市北投區八仙段一小段三四四地號,農地,7738,2002/10/04,府環水字第09106170400號,2004/11/02,府環二字第09305906300號,無,無,無,無,無,無,無,無,公告解除控制場址,銅/無,土壤之重金屬（銅）濃度達土壤污染管制標準管制項目銅之食用作物農地之管制標準值(200毫克/公斤)。,因年代久遠，資料不可考。,無,完成控制並解除列管
臺北市,臺北市北投區八仙段一小段一四○(部分)地號,X：301310，Y：2777998,無,臺北市北投區八仙段一小段一四○(部分)地號,農地,580,2004/01/27,府環二字第09305849000號,2005/03/01,府環二字第09404456600號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;鋅/無,土壤之重金屬（鋅、鉻）濃度達土壤污染管制標準。,因年代久遠，資料不可考。,無,完成控制並解除列管
臺北市,臺北市北投區豐年段一小段三○二(部分)地號,X：299512，Y：2779782,無,臺北市北投區豐年段一小段三○二(部分)地號,農地,3205.65,2004/12/10,府環二字第09305914700號,2008/04/18,府環二字第09732012900號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘/無,土壤重金屬污染,因年代久遠，資料不可考。,地上之食用作物剷除銷毀，並限制農地得選擇辦理停耕領取補償或得選擇種植供觀賞用途之花卉、種苗等非供人、畜直接或間接食用之作物，但不得領取停耕補償，且應配合土壤整治需要，隨時終止種植，不得要求停耕補償。,完成控制並解除列管
臺北市,臺北市北投區豐年段一小段三○三(部分)地號,X：299518，Y：2779865,無,臺北市北投區豐年段一小段三○三(部分)地號,農地,2855.14,2004/12/10,府環二字第09305914700號,2008/04/18,府環二字第09732012900號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘/無,土壤重金屬污染,因年代久遠，資料不可考。,地上之食用作物剷除銷毀，並限制農地得選擇辦理停耕領取補償或得選擇種植供觀賞用途之花卉、種苗等非供人、畜直接或間接食用之作物，但不得領取停耕補償，且應配合土壤整治需要，隨時終止種植，不得要求停耕補償。,完成控制並解除列管
臺北市,臺北市北投區八仙段一小段三一三地號,X：299669，Y：2779961,無,臺北市北投區八仙段一小段三一三地號,農地,3513,2004/12/10,府環二字第09305914700號,2008/04/18,府環二字第09732012900號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘;銅;汞/無,土壤重金屬污染,因年代久遠，資料不可考。,無,完成控制並解除列管
臺北市,臺北市北投區豐年段一小段四五○之五地號,X：299745，Y：2779944,無,臺北市北投區豐年段一小段四五○之五地號,農地,1946,2004/12/10,府環二字第09305914700號,2008/04/18,府環二字第09732012900號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘/無,土壤重金屬污染,因年代久遠，資料不可考。,無,完成控制並解除列管
臺北市,臺北市北投區豐年段一小段四五二之七地號,X：299725，Y：2779920,無,臺北市北投區豐年段一小段四五二之七地號,農地,542,2004/12/10,府環二字第09305914700號,2008/04/18,府環二字第09732012900號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘/無,土壤重金屬污染,因年代久遠，資料不可考。,地上之食用作物剷除銷毀，並限制農地得選擇辦理停耕領取補償或得選擇種植供觀賞用途之花卉、種苗等非供人、畜直接或間接食用之作物，但不得領取停耕補償，且應配合土壤整治需要，隨時終止種植，不得要求停耕補償。,完成控制並解除列管
臺北市,台北市北投區豐年段一小段四五二之九地號,X：299686，Y：2779934,無,臺北市北投區豐年段一小段四五二之九地號,農地,459,2004/12/10,府環二字第09305914700號,2008/04/18,府環二字第09732012900號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘/無,土壤重金屬污染,因年代久遠，資料不可考。,無,完成控制並解除列管
臺北市,臺北市北投區豐年段一小段四五四(部分)地號,X：299914，Y：2779838,無,臺北市北投區豐年段一小段四五四(部分)地號,農地,2403.45,2004/12/10,府環二字第09305914700號,2008/04/18,府環二字第09732012900號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘/無,土壤重金屬污染,因年代久遠，資料不可考。,地上之食用作物剷除銷毀，並限制農地得選擇辦理停耕領取補償或得選擇種植供觀賞用途之花卉、種苗等非供人、畜直接或間接食用之作物，但不得領取停耕補償，且應配合土壤整治需要，隨時終止種植，不得要求停耕補償。,完成控制並解除列管
臺北市,臺北市北投區豐年段一小段四五五(部分)地號,X：299739，Y：2779857,無,臺北市北投區豐年段一小段四五五(部分)地號,農地,3431.14,2004/12/10,府環二字第09305914700號,2008/04/18,府環二字第09732012900號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘;銅/無,土壤重金屬污染,因年代久遠，資料不可考。,地上之食用作物剷除銷毀，並限制農地得選擇辦理停耕領取補償或得選擇種植供觀賞用途之花卉、種苗等非供人、畜直接或間接食用之作物，但不得領取停耕補償，且應配合土壤整治需要，隨時終止種植，不得要求停耕補償。,完成控制並解除列管
臺北市,臺北市北投區豐年段一小段四五七地號,X：299696，Y：2779851,無,臺北市北投區豐年段一小段四五七地號,農地,4262.67,2004/12/10,府環二字第09305914700號,2008/04/18,府環二字第09732012900號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘/無,土壤重金屬污染,因年代久遠，資料不可考。,地上之食用作物剷除銷毀，並限制農地得選擇辦理停耕領取補償或得選擇種植供觀賞用途之花卉、種苗等非供人、畜直接或間接食用之作物，但不得領取停耕補償，且應配合土壤整治需要，隨時終止種植，不得要求停耕補償。,完成控制並解除列管
