"X","Y","SAMELO","OBJECTID","AREA","PERIMETER","PHTW911_","PHTW911_ID","XLO","YLO","SNO","YEAR","LNO","FE","MN","CU","ZN","CD","CR","NI","PB","add","county"
120.1952197,22.9269444015987,0,37374,62500,1000,29807,33253,166625,2536625,"GR85EF28521",1996,"EF2852",606.9,58.19,35.4,280.98,0.86,0.38,6.05,75.95,"717台灣台南市仁德區中正西路1238號","台南市"
120.2026483,22.9066637,0,110116,62500,1000,45,45,167375,2534375,"GR95EF38841",2006,"EF3884",617.95,50.72,26.54,243.58,1.57,1.02,11.63,40.78,"829台灣高雄市湖內區中正路二段397巷","高雄市"
120.2085038,23.15727956,0,32255,62500,1000,24435,3773,168125,2562125,"GR83EG39041",1994,"EG3904",909.5,151.41,165.91,197.95,1.01,1.22,3.93,9.88,"723台灣台南市西港區金砂橋","台南市"
120.2116829,23.4462485,0,66322,62500,1000,21553,6566,168625,2594125,"GR91EH292A1",2002,"EH292A",449.21,42.09,164.63,13.5,0.03,0.17,1.4,17.71,"Unnamed Road, 朴子市嘉義縣台灣 613","嘉義縣"
120.2172304,22.91350847,0,37673,62500,1000,30119,33631,168875,2535125,"GR85EF39471",1996,"EF3947",315.54,121.34,413.09,48.83,1.27,0.45,1.94,126.43,"717台灣台南市仁德區行大一街265-269號","台南市"
120.2190191,23.02639191,0,35537,62500,1000,27871,8128,169125,2547625,"GR82EG89411",1993,"EG8941",1175.47,81.93,115.91,40.59,0.5,11.2,23.9,12.91,"710台灣台南市永康區河堤道路","台南市"
120.2248824,22.85259072,0,110153,62500,1000,136,136,169625,2528375,"GR95EF59721",2006,"EF5972",422.69,146.57,5.94,21.9,37.02,1.11,10.69,7.14,"821台灣高雄市路竹區海安路145號","高雄市"
120.226002,23.08512306,0,34481,62500,1000,26759,7914,169875,2554125,"GR83EG69751",1994,"EG6975",898.42,126.06,198.93,1428.21,2.39,0.62,7.69,38.4,"745台灣台南市安定區台南支線聯絡道","台南市"
120.2288609,23.4373047,0,66456,62500,1000,21698,6719,170375,2593125,"GR91EH29961",2002,"EH2996",657.29,211.02,7.36,7.6,0.08,16.76,39.83,3.04,"613台灣嘉義縣朴子市161縣道","嘉義縣"
120.2294775,22.90228024,0,126825,62500,1000,100,100,170125,2533875,"GR95EF39921",2006,"EF3992",485.99,186.26,95.88,50.79,0.59,0.65,11.28,10.22,"829台灣高雄市湖內區福生一街","高雄市"
120.2297539,22.85261429,0,117558,62500,1000,53,53,170125,2528375,"GR95EF59921",2006,"EF5992",233.39,43.64,4.02,520.74,0.05,0.11,0.61,4.77,"821台灣高雄市路竹區大公路370號","高雄市"
120.2317512,22.93163916,0,37252,62500,1000,29678,33410,170375,2537125,"GR85EF29A41",1996,"EF29A4",749.69,136.99,21.67,220.15,0.67,7.29,5.31,14.08,"717台灣台南市仁德區保安路二段147號","台南市"
120.2384294,23.04454645,0,35252,62500,1000,27575,8241,171125,2549625,"GR82EG90291",1993,"EG9029",167.29,112.46,145.91,218.36,0.29,13.54,10.32,12.24,"710台灣台南市永康區三村二街24號","台南市"
120.2385431,23.45541222,0,66181,62500,1000,21405,6385,171375,2595125,"GR91EH20231",2002,"EH2023",649.01,204.08,260.35,12.59,0.23,0.63,4.56,3.85,"613台灣嘉義縣朴子市東西向快速公路東石嘉義線","嘉義縣"
120.24202,22.83686916,0,117594,62500,1000,167,167,171375,2526625,"GR96EF70461",2007,"EF7046",350.74,92.04,183.36,334.68,0.4,0.24,4.67,117.1,"821台灣高雄市路竹區順安路329號","高雄市"
120.2438506,22.94749928,0,36875,62500,1000,29271,33141,171625,2538875,"GR85EF20401",1996,"EF2040",878.51,100.5,141.99,47.91,0.83,4.15,2.14,11.72,"717台灣台南市仁德區東西向快速公路台南關廟線","台南市"
120.244468,22.83462303,0,126856,62500,1000,183,183,171625,2526375,"GR96EF70551",2007,"EF7055",356.64,107.19,242.32,1274.23,0.42,0.68,6.03,46.31,"821台灣高雄市路竹區順安路275巷158號","高雄市"
120.2444804,22.83236539,0,101388,62500,1000,69,69,171625,2526125,"GR94EF70541",2005,"EF7054",719.1,106.12,77.86,1345.88,0.02,0.39,15.38,36.52,"821台灣高雄市路竹區順安路275巷158號","高雄市"
120.2463374,22.93848105,0,37095,62500,1000,29508,33515,171875,2537875,"GR85EF30571",1996,"EF3057",985.82,66.91,51.63,33.93,0.64,18.76,5.08,16.47,"717台灣台南市仁德區田厝一街2號","台南市"
120.2486268,22.96558164,0,36532,62500,1000,28909,33206,172125,2540875,"GR85EF20681",1996,"EF2068",620.06,102.19,81.16,51.78,0.6,18.61,10.08,16.23,"717台灣台南市仁德區中山高速公路","台南市"
120.2517129,22.84594549,0,110236,62500,1000,376,376,172375,2527625,"GR95EF708A1",2006,"EF708A",533.29,69.46,8.74,321.66,0.14,8.37,1.86,2.69,"821台灣高雄市路竹區路科九路","高雄市"
120.2532286,23.01526875,0,35682,62500,1000,28020,121,172625,2546375,"GR82EG00871",1993,"EG0087",1064.49,31.09,26.97,27.41,0.6,19.16,31.5,8.37,"710台灣台南市永康區永二街241巷43號","台南市"
120.2587221,23.34715212,0,128253,62500,1000,4078,4078,173375,2583125,"GR95FH610B1",2006,"FH610B",956.42,219.39,58.12,235.29,0.33,1.21,4.58,1.92,"624台灣嘉義縣義竹鄉163縣道","嘉義縣"
120.2608887,22.95209396,0,36786,62500,1000,29175,40121,173375,2539375,"GR85FF11121",1996,"FF1112",1592.21,167.68,10.54,42.84,1.03,19.23,2.39,19.16,"717台灣台南市仁德區義林路638號","台南市"
120.2616384,22.8121257,0,101710,62500,1000,926,926,173375,2523875,"GR95FF71161",2006,"FF7116",651.5,163.167,14.385,502.01,0.203,0.444,1.308,4.692,"820台灣高雄市岡山區本洲三街40巷15號","高雄市"
120.261954,22.75342485,0,111265,62500,1000,2899,2899,173375,2517375,"GR95FF91221",2006,"FF9122",657.52,33.39,20.24,61.52,0.1,51.39,143.3,3.47,"826台灣高雄市梓官區和平路19號","高雄市"
120.2636745,23.33588857,0,28370,62500,1000,20398,16054,173875,2581875,"GR83FH61261",1994,"FH6126",292.38,114.08,187.45,148.43,2.25,1.88,1.25,356.81,"624台灣嘉義縣義竹鄉仁愛路","嘉義縣"
120.2640978,22.80762148,0,136429,62500,1000,4392,4392,173625,2523375,"GR96FF71241",2007,"FF7124",292.91,157.47,5.23,504.2,0.06,0.2,2.44,4.73,"820台灣高雄市岡山區本洲路200號","高雄市"
120.2644842,22.73537415,0,126905,62500,1000,312,312,173625,2515375,"GR95FE01351",2006,"FE0135",480.03,24.47,6.14,205.97,0.08,0.14,0.98,5.33,"826台灣高雄市梓官區嘉展路文宏二巷60-96號","高雄市"
